ID Easting Northing Altitude Retro Angle Distance UTC Long Lat
28243055 753619.823 3753377.445 292.904 0.169 -0.00384 30.012 62622.10850 -84.257566536 33.890287720
28243129 753619.863 3753377.546 295.048 0.165 0.06820 29.670 62622.12159 -84.257566074 33.890288618
28243130 753619.849 3753377.588 294.74 0.796 0.05791 29.612 62622.12162 -84.257566216 33.890288996
28243131 753619.869 3753377.562 294.436 0.827 0.04762 29.632 62622.12165 -84.257566012 33.890288764
28243132 753619.875 3753377.563 294.131 0.824 0.03733 29.626 62622.12169 -84.257565941 33.890288768
28243133 753619.883 3753377.56 293.827 0.827 0.02703 29.627 62622.12172 -84.257565854 33.890288743
28243134 753619.884 3753377.573 293.522 0.820 0.01674 29.614 62622.12175 -84.257565846 33.890288857
28243135 753619.893 3753377.569 293.217 0.757 0.00645 29.623 62622.12178 -84.257565751 33.890288817
28243136 753619.911 3753377.546 292.912 0.161 -0.00384 29.656 62622.12182 -84.257565558 33.890288605
28243210 753619.98 3753377.591 295.036 0.180 0.06830 29.377 62622.13490 -84.257564800 33.890288993
28243211 753619.967 3753377.631 294.732 0.808 0.05801 29.321 62622.13493 -84.257564933 33.890289355
28243212 753619.966 3753377.645 294.429 0.839 0.04772 29.297 62622.13496 -84.257564934 33.890289482
28243213 753619.981 3753377.628 294.128 0.835 0.03743 29.310 62622.13500 -84.257564776 33.890289332
28243214 753619.976 3753377.652 293.827 0.839 0.02714 29.282 62622.13503 -84.257564824 33.890289542
28243215 753619.985 3753377.648 293.525 0.804 0.01684 29.287 62622.13506 -84.257564733 33.890289509
28243216 753619.986 3753377.659 293.224 0.749 0.00655 29.279 62622.13509 -84.257564718 33.890289607
28243217 753620.014 3753377.617 292.922 0.227 -0.00374 29.333 62622.13513 -84.257564428 33.890289223
28243291 753620.06 3753377.709 295.014 0.165 0.06820 29.001 62622.14820 -84.257563907 33.890290043
28243292 753620.064 3753377.715 294.715 0.808 0.05791 28.984 62622.14824 -84.257563860 33.890290088
28243293 753620.067 3753377.721 294.417 0.839 0.04762 28.969 62622.14827 -84.257563821 33.890290142
28243294 753620.073 3753377.723 294.119 0.851 0.03732 28.961 62622.14830 -84.257563763 33.890290165
28243295 753620.079 3753377.723 293.821 0.859 0.02703 28.959 62622.14834 -84.257563690 33.890290162
28243296 753620.085 3753377.725 293.523 0.855 0.01674 28.958 62622.14837 -84.257563628 33.890290178
28243297 753620.096 3753377.717 293.225 0.765 0.00645 28.971 62622.14840 -84.257563516 33.890290104
28243298 753620.126 3753377.671 292.925 0.161 -0.00384 29.030 62622.14843 -84.257563206 33.890289681
28243372 753620.199 3753377.71 295.002 0.149 0.06820 28.757 62622.16152 -84.257562403 33.890290017
28243373 753620.173 3753377.775 294.703 0.753 0.05791 28.673 62622.16155 -84.257562667 33.890290610
28243374 753620.169 3753377.795 294.407 0.761 0.04762 28.643 62622.16158 -84.257562698 33.890290787
28243375 753620.174 3753377.799 294.112 0.765 0.03732 28.634 62622.16161 -84.257562646 33.890290818
28243376 753620.173 3753377.813 293.818 0.757 0.02703 28.616 62622.16165 -84.257562648 33.890290946
28243377 753620.18 3753377.813 293.523 0.745 0.01674 28.617 62622.16168 -84.257562578 33.890290945
28243378 753620.191 3753377.803 293.229 0.722 0.00645 28.632 62622.16171 -84.257562458 33.890290855
28243379 753620.249 3753377.702 292.932 0.125 -0.00384 28.752 62622.16174 -84.257561866 33.890289934
28243446 753620.309 3753377.769 294.989 0.133 0.06830 28.449 62622.17482 -84.257561197 33.890290517
28243447 753620.295 3753377.81 294.695 0.212 0.05801 28.392 62622.17486 -84.257561337 33.890290888
28243448 753620.273 3753377.865 294.401 0.251 0.04772 28.322 62622.17489 -84.257561553 33.890291392
28243449 753620.316 3753377.793 294.111 0.255 0.03743 28.397 62622.17492 -84.257561115 33.890290738
28243450 753620.308 3753377.821 293.818 0.227 0.02713 28.364 62622.17495 -84.257561188 33.890290990
28243451 753620.317 3753377.817 293.527 0.231 0.01684 28.370 62622.17499 -84.257561094 33.890290946
28243452 753620.333 3753377.798 293.234 0.180 0.00655 28.395 62622.17502 -84.257560928 33.890290774
